Name,Color,L,W,T,P/S
sb0,7DA7B0,117,106,10,0
sb1,7DA7B0,44,45,10,0
sb2,7DA7B0,57,98,10,0
sb3,7DA7B0,134,78,10,0
sb4,7DA7B0,79,88,10,0
sb5,7DA7B0,103,37,10,0
sb6,7DA7B0,62,78,10,0
sb7,7DA7B0,108,79,10,0
sb8,7DA7B0,127,64,10,0
sb9,7DA7B0,112,108,10,0
sb10,7DA7B0,89,35,10,0
sb11,7DA7B0,74,52,10,0
sb12,7DA7B0,84,95,10,0
sb13,7DA7B0,62,64,10,0
sb14,7DA7B0,84,113,10,0
sb15,7DA7B0,39,112,10,0
sb16,7DA7B0,69,134,10,0
sb17,7DA7B0,71,132,10,0
sb18,7DA7B0,42,106,10,0
sb19,7DA7B0,103,120,10,0
sb20,7DA7B0,134,127,10,0
sb21,7DA7B0,98,45,10,0
sb22,7DA7B0,89,81,10,0
sb23,7DA7B0,50,130,10,0
sb24,7DA7B0,49,108,10,0
sb25,7DA7B0,118,35,10,0
sb26,7DA7B0,67,130,10,0
sb27,7DA7B0,37,33,10,0
sb28,7DA7B0,71,125,10,0
sb29,7DA7B0,45,50,10,0
