Name,Color,L,W,T,P/S
sb0,7DA7B0,27,15,10,0
sb1,7DA7B0,27,16,10,0
sb2,7DA7B0,22,26,10,0
sb3,7DA7B0,21,45,10,0
sb4,7DA7B0,40,45,10,0
sb5,7DA7B0,16,26,10,0
sb6,7DA7B0,38,27,10,0
sb7,7DA7B0,35,29,10,0
sb8,7DA7B0,21,36,10,0
sb9,7DA7B0,44,25,10,0
sb10,7DA7B0,15,31,10,0
sb11,7DA7B0,41,24,10,0
sb12,7DA7B0,17,19,10,0
sb13,7DA7B0,33,48,10,0
sb14,7DA7B0,44,21,10,0
sb15,7DA7B0,34,15,10,0
sb16,7DA7B0,45,42,10,0
sb17,7DA7B0,41,37,10,0
sb18,7DA7B0,43,44,10,0
sb19,7DA7B0,36,23,10,0
sb20,7DA7B0,13,17,10,0
sb21,7DA7B0,28,44,10,0
sb22,7DA7B0,35,29,10,0
sb23,7DA7B0,40,17,10,0
sb24,7DA7B0,18,24,10,0
sb25,7DA7B0,29,43,10,0
sb26,7DA7B0,27,18,10,0
sb27,7DA7B0,38,40,10,0
sb28,7DA7B0,24,12,10,0
sb29,7DA7B0,29,30,10,0
sb30,7DA7B0,20,28,10,0
sb31,7DA7B0,32,36,10,0
sb32,7DA7B0,19,22,10,0
sb33,7DA7B0,45,46,10,0
sb34,7DA7B0,29,12,10,0
sb35,7DA7B0,12,26,10,0
sb36,7DA7B0,27,30,10,0
sb37,7DA7B0,12,29,10,0
sb38,7DA7B0,21,19,10,0
sb39,7DA7B0,12,13,10,0
sb40,7DA7B0,19,47,10,0
sb41,7DA7B0,36,19,10,0
sb42,7DA7B0,46,25,10,0
sb43,7DA7B0,39,21,10,0
sb44,7DA7B0,27,24,10,0
sb45,7DA7B0,24,25,10,0
sb46,7DA7B0,19,13,10,0
sb47,7DA7B0,42,40,10,0
sb48,7DA7B0,28,34,10,0
sb49,7DA7B0,24,48,10,0
sb50,7DA7B0,19,14,10,0
sb51,7DA7B0,14,16,10,0
sb52,7DA7B0,37,18,10,0
sb53,7DA7B0,36,12,10,0
sb54,7DA7B0,30,34,10,0
sb55,7DA7B0,26,31,10,0
sb56,7DA7B0,46,31,10,0
sb57,7DA7B0,47,48,10,0
sb58,7DA7B0,25,25,10,0
sb59,7DA7B0,47,38,10,0
sb60,7DA7B0,39,16,10,0
sb61,7DA7B0,31,45,10,0
sb62,7DA7B0,46,36,10,0
sb63,7DA7B0,36,46,10,0
sb64,7DA7B0,33,15,10,0
sb65,7DA7B0,13,23,10,0
sb66,7DA7B0,42,45,10,0
sb67,7DA7B0,14,33,10,0
sb68,7DA7B0,28,45,10,0
sb69,7DA7B0,36,27,10,0
sb70,7DA7B0,16,45,10,0
sb71,7DA7B0,34,32,10,0
sb72,7DA7B0,32,15,10,0
sb73,7DA7B0,12,46,10,0
sb74,7DA7B0,43,34,10,0
sb75,7DA7B0,20,37,10,0
sb76,7DA7B0,39,36,10,0
sb77,7DA7B0,40,18,10,0
sb78,7DA7B0,42,16,10,0
sb79,7DA7B0,40,25,10,0
sb80,7DA7B0,36,15,10,0
sb81,7DA7B0,15,32,10,0
sb82,7DA7B0,39,24,10,0
sb83,7DA7B0,37,41,10,0
sb84,7DA7B0,34,38,10,0
sb85,7DA7B0,34,43,10,0
sb86,7DA7B0,39,44,10,0
sb87,7DA7B0,45,48,10,0
sb88,7DA7B0,29,44,10,0
sb89,7DA7B0,20,42,10,0
sb90,7DA7B0,46,24,10,0
sb91,7DA7B0,43,21,10,0
sb92,7DA7B0,45,47,10,0
sb93,7DA7B0,20,24,10,0
sb94,7DA7B0,31,19,10,0
sb95,7DA7B0,44,37,10,0
sb96,7DA7B0,46,33,10,0
sb97,7DA7B0,40,15,10,0
sb98,7DA7B0,13,35,10,0
sb99,7DA7B0,40,17,10,0
sb100,7DA7B0,44,45,10,0
sb101,7DA7B0,30,36,10,0
sb102,7DA7B0,40,36,10,0
sb103,7DA7B0,34,34,10,0
sb104,7DA7B0,42,14,10,0
sb105,7DA7B0,35,33,10,0
sb106,7DA7B0,12,33,10,0
sb107,7DA7B0,32,15,10,0
sb108,7DA7B0,37,38,10,0
sb109,7DA7B0,42,46,10,0
sb110,7DA7B0,39,42,10,0
sb111,7DA7B0,13,21,10,0
sb112,7DA7B0,30,25,10,0
sb113,7DA7B0,36,24,10,0
sb114,7DA7B0,34,44,10,0
sb115,7DA7B0,34,22,10,0
sb116,7DA7B0,28,19,10,0
sb117,7DA7B0,39,21,10,0
sb118,7DA7B0,44,38,10,0
sb119,7DA7B0,28,45,10,0
sb120,7DA7B0,36,36,10,0
sb121,7DA7B0,34,38,10,0
sb122,7DA7B0,43,20,10,0
sb123,7DA7B0,23,36,10,0
sb124,7DA7B0,31,35,10,0
sb125,7DA7B0,46,42,10,0
sb126,7DA7B0,22,12,10,0
sb127,7DA7B0,25,43,10,0
sb128,7DA7B0,44,28,10,0
sb129,7DA7B0,34,22,10,0
sb130,7DA7B0,30,26,10,0
sb131,7DA7B0,48,45,10,0
sb132,7DA7B0,18,39,10,0
sb133,7DA7B0,15,43,10,0
sb134,7DA7B0,34,47,10,0
sb135,7DA7B0,45,15,10,0
sb136,7DA7B0,37,12,10,0
sb137,7DA7B0,21,28,10,0
sb138,7DA7B0,42,28,10,0
sb139,7DA7B0,36,37,10,0
sb140,7DA7B0,12,43,10,0
sb141,7DA7B0,19,45,10,0
sb142,7DA7B0,27,37,10,0
sb143,7DA7B0,24,25,10,0
sb144,7DA7B0,15,40,10,0
sb145,7DA7B0,13,45,10,0
sb146,7DA7B0,48,33,10,0
sb147,7DA7B0,30,42,10,0
sb148,7DA7B0,18,20,10,0
sb149,7DA7B0,47,22,10,0
sb150,7DA7B0,23,31,10,0
sb151,7DA7B0,18,42,10,0
sb152,7DA7B0,16,19,10,0
sb153,7DA7B0,41,30,10,0
sb154,7DA7B0,22,17,10,0
sb155,7DA7B0,25,14,10,0
sb156,7DA7B0,28,16,10,0
sb157,7DA7B0,20,25,10,0
sb158,7DA7B0,23,13,10,0
sb159,7DA7B0,44,32,10,0
sb160,7DA7B0,27,16,10,0
sb161,7DA7B0,46,47,10,0
sb162,7DA7B0,31,18,10,0
sb163,7DA7B0,33,22,10,0
sb164,7DA7B0,36,41,10,0
sb165,7DA7B0,21,17,10,0
sb166,7DA7B0,34,36,10,0
sb167,7DA7B0,36,37,10,0
sb168,7DA7B0,24,41,10,0
sb169,7DA7B0,24,39,10,0
sb170,7DA7B0,29,45,10,0
sb171,7DA7B0,22,40,10,0
sb172,7DA7B0,27,13,10,0
sb173,7DA7B0,25,32,10,0
sb174,7DA7B0,43,16,10,0
sb175,7DA7B0,15,16,10,0
sb176,7DA7B0,33,38,10,0
sb177,7DA7B0,41,37,10,0
sb178,7DA7B0,17,19,10,0
sb179,7DA7B0,46,34,10,0
sb180,7DA7B0,19,40,10,0
sb181,7DA7B0,30,28,10,0
sb182,7DA7B0,45,24,10,0
sb183,7DA7B0,33,39,10,0
sb184,7DA7B0,46,25,10,0
sb185,7DA7B0,27,34,10,0
sb186,7DA7B0,31,33,10,0
sb187,7DA7B0,36,38,10,0
sb188,7DA7B0,37,40,10,0
sb189,7DA7B0,44,12,10,0
sb190,7DA7B0,37,27,10,0
sb191,7DA7B0,16,34,10,0
sb192,7DA7B0,29,48,10,0
sb193,7DA7B0,33,17,10,0
sb194,7DA7B0,28,13,10,0
sb195,7DA7B0,33,13,10,0
sb196,7DA7B0,41,41,10,0
sb197,7DA7B0,37,28,10,0
sb198,7DA7B0,48,19,10,0
sb199,7DA7B0,31,36,10,0
sb200,7DA7B0,43,37,10,0
sb201,7DA7B0,26,29,10,0
sb202,7DA7B0,34,39,10,0
sb203,7DA7B0,15,28,10,0
sb204,7DA7B0,41,33,10,0
sb205,7DA7B0,21,15,10,0
sb206,7DA7B0,42,35,10,0
sb207,7DA7B0,33,28,10,0
sb208,7DA7B0,27,20,10,0
sb209,7DA7B0,45,36,10,0
sb210,7DA7B0,13,24,10,0
sb211,7DA7B0,16,12,10,0
sb212,7DA7B0,21,42,10,0
sb213,7DA7B0,32,14,10,0
sb214,7DA7B0,17,27,10,0
sb215,7DA7B0,29,21,10,0
sb216,7DA7B0,42,19,10,0
sb217,7DA7B0,20,48,10,0
