Name,Color,L,W,T,P/S
M001,7DA7B0,1708,3234,10,0
M002,7DA7B0,672,1554,10,0
M003,7DA7B0,2184,1008,10,0
M004,7DA7B0,3080,1610,10,0
M005,7DA7B0,532,1386,10,0
M006,7DA7B0,1862,882,10,0
M007,7DA7B0,350,868,10,0
M008,7DA7B0,644,1246,10,0
M009,7DA7B0,980,462,10,0
M010,7DA7B0,294,616,10,0
M011,7DA7B0,826,378,10,0
M012,7DA7B0,798,406,10,0
M013,7DA7B0,266,672,10,0
M014,7DA7B0,406,924,10,0
M015,7DA7B0,406,840,10,0
M016,7DA7B0,322,798,10,0
M017,7DA7B0,392,756,10,0
M018,7DA7B0,1078,392,10,0
M019,7DA7B0,392,826,10,0
M020,7DA7B0,798,252,10,0
M021,7DA7B0,392,826,10,0
M022,7DA7B0,952,364,10,0
M023,7DA7B0,1134,490,10,0
M024,7DA7B0,798,266,10,0
M025,7DA7B0,784,322,10,0
M026,7DA7B0,350,728,10,0
M027,7DA7B0,364,840,10,0
M028,7DA7B0,518,1064,10,0
M029,7DA7B0,490,994,10,0
M030,7DA7B0,1302,728,10,0
M031,7DA7B0,392,1050,10,0
M032,7DA7B0,784,378,10,0
M033,7DA7B0,1890,952,10,0
M034,7DA7B0,560,1148,10,0
M035,7DA7B0,854,392,10,0
M036,7DA7B0,994,448,10,0
M037,7DA7B0,1218,560,10,0
M038,7DA7B0,448,966,10,0
M039,7DA7B0,364,784,10,0
M040,7DA7B0,392,868,10,0
M041,7DA7B0,364,854,10,0
M042,7DA7B0,168,378,10,0
M043,7DA7B0,910,532,10,0
M044,7DA7B0,630,1302,10,0
M045,7DA7B0,672,1162,10,0
M046,7DA7B0,1204,504,10,0
M047,7DA7B0,434,812,10,0
M048,7DA7B0,1302,728,10,0
M049,7DA7B0,392,742,10,0
